Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),COOLSYS1 CHILLER1:Chiller Electric Power [W](Hourly),CHILLED WATER LOOP CHW SUPPLY PUMP2:Pump Electric Energy [J](Hourly) 
 07/04  02:00:00,21.15478396767368,21.33728274150898,21.0754586351484,21.173092098999317,21.361415874102954,100.0,100.0,100.0,100.0,100.0,7363.426260588989,5380743.578620627 
 07/04  03:00:00,21.10737322907842,21.289051818003359,21.01112059408125,21.121853526026194,21.31187858183839,100.0,100.0,70.0,100.0,100.0,7288.377376117847,5380743.578620627 
 07/04  04:00:00,20.99007613841028,21.19880538708989,20.95558168920299,21.00479219898212,21.226692688555884,25.0,100.0,0.0,55.0,100.0,6304.732901370642,5380743.578620627 
 07/04  05:00:00,20.959375645756177,21.131039353763418,20.92574124681507,20.959508200554585,21.160229826015696,0.0,100.0,0.0,0.0,100.0,5386.770255555342,5380743.578620627 
 07/04  06:00:00,20.923751896384084,21.054544421571469,20.904012317074338,20.92174379258103,21.085459173694099,0.0,100.0,0.0,0.0,100.0,5300.705738932066,5380743.578620627 
 07/04  07:00:00,21.07479022781387,21.087083002897648,20.934800914313667,21.088324411319364,21.12673404972785,65.0,100.0,0.0,70.0,100.0,6573.093117388309,5380743.578620627 
 07/04  08:00:00,20.407749551836785,20.241405452961098,20.167137073729429,20.417728184276866,20.26474044530744,10.0,5.0,0.0,10.0,10.0,7813.351292040973,5380743.578620627 
 07/04  09:00:00,20.39608831487844,20.096716074349894,20.009994615586469,20.392199830942809,20.09524383086312,0.0,0.0,0.0,0.0,0.0,7424.98874701771,5380743.578620627 
 07/04  10:00:00,20.741237779563215,20.333698985396489,20.102849825265204,20.69827523459141,20.28144352120499,0.0,0.0,0.0,0.0,0.0,7512.459123117801,5380743.578620627 
 07/04  11:00:00,21.258054820647627,20.732986481024818,20.305694324105106,21.158188350430259,20.606980852943634,90.0,0.0,0.0,75.0,0.0,8981.571413932294,5380743.578620627 
 07/04  12:00:00,21.647599298111538,21.076386640387754,20.503582426470638,21.49801351016972,20.88020504455349,100.0,75.0,0.0,100.0,0.0,11542.327540818409,5380743.578620627 
 07/04  13:00:00,21.828376531033507,21.25429960355228,20.675039011537405,21.64455829548436,21.045047893842008,100.0,100.0,0.0,100.0,75.0,14431.560840115428,5380743.578620627 
 07/04  14:00:00,21.945168461712396,21.345526215308877,20.80895189134426,21.745145264269455,21.13279280330622,100.0,100.0,0.0,100.0,100.0,15606.69817919753,5380743.578620627 
 07/04  15:00:00,22.166560025291017,21.41799016169374,20.922805615552638,21.97711373432537,21.21233418718726,100.0,100.0,0.0,100.0,100.0,15668.202720057263,5380743.578620627 
 07/04  16:00:00,22.57723050976118,21.41159752667391,21.039890084991794,22.433485894031386,21.244903360786738,100.0,100.0,80.0,100.0,100.0,16631.60781287263,5380743.578620627 
 07/04  17:00:00,22.84334882594778,21.336623666679438,21.096951932291256,22.757463033320968,21.228158658500285,100.0,100.0,100.0,100.0,100.0,17100.127033775916,5380743.578620627 
 07/04  18:00:00,22.57707357556223,21.151321985257874,21.004371308736404,22.525163859641006,21.08352910962703,100.0,100.0,60.0,100.0,90.0,15726.89137743769,5380743.578620627 
 07/04  19:00:00,21.853581844859457,20.874559307621209,20.773678876975443,21.835642488256135,20.857574056129907,100.0,10.0,0.0,100.0,0.0,9735.365195251306,5380743.578620627 
 07/04  20:00:00,21.220330889337128,20.630140661108535,20.533369046314648,21.21595649175972,20.632230369492647,95.0,0.0,0.0,95.0,0.0,7975.903647963243,5380743.578620627 
 07/04  21:00:00,20.792794722985556,20.43027794605129,20.361806161897559,20.79450969299763,20.442086670028219,0.0,0.0,0.0,0.0,0.0,7380.778676917629,5380743.578620627 
 07/04  22:00:00,21.53046820405107,21.367479869974774,21.065661260074476,21.53781463919606,21.390739416716057,90.0,82.5,65.0,90.0,82.5,6701.356975529113,4842669.220758564 
 07/04  23:00:00,21.649399311325717,21.68870526380846,21.350173544265429,21.664391998316959,21.723638225977078,100.0,100.0,100.0,100.0,100.0,8108.589155994763,5380743.578620627 
 07/04  24:00:00,21.497023240660118,21.61888774354459,21.32959014589438,21.512016533233877,21.65592018015423,100.0,100.0,100.0,100.0,100.0,7591.961368131281,5380743.578620627 
 07/05  01:00:00,21.38146968569966,21.540122312205097,21.262409043893439,21.39511419091021,21.576881000530415,100.0,100.0,100.0,100.0,100.0,7291.209945264442,5380743.578620627 
 07/05  02:00:00,21.25939198269829,21.45050084948426,21.18193366392027,21.274174551402149,21.488155513333675,100.0,100.0,100.0,100.0,100.0,7259.5575461185339,5380743.578620627 
