Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PERIMETER_BOT_ZN_1:Zone Mean Air Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Injection Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Recirculation Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_INLET:System Node Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_OUTLET:System Node Temperature [C](Hourly) 
 07/21  24:00:00,26.936958333333334,20.572373541599807,9410.655414057854,0.5467642243600003,0.31291923350420455,0.2338449908557954,9.853999251738243,13.960585065544937,28.631819180273543,6.7027041521533159,10.856418596904494 
 07/01  01:00:00,21.118333333333337,19.658127486217255,0.0,0.0,0.0,0.0,10.06695159329298,10.06695159329298,11.99219560723847,10.019819820148618,10.019819820148618 
 07/01  02:00:00,22.098333333333334,20.06470310332779,0.0,0.0,0.0,0.0,10.06695159329298,10.06695159329298,11.99219560723847,10.019819820148618,10.019819820148618 
 07/01  03:00:00,21.949166666666675,20.362455543970126,0.0,0.0,0.0,0.0,10.06695159329298,10.06695159329298,11.99219560723847,10.019819820148618,10.019819820148618 
 07/01  04:00:00,21.79833333333333,20.57736911464213,0.0,0.0,0.0,0.0,10.06695159329298,10.06695159329298,11.99219560723847,10.019819820148618,10.019819820148618 
 07/01  05:00:00,21.700000000000025,20.74485399892428,0.0,0.0,0.0,0.0,10.06695159329298,10.06695159329298,11.99219560723847,10.019819820148618,10.019819820148618 
 07/01  06:00:00,21.954166666666663,20.902376906052387,0.0,0.0,0.0,0.0,10.06695159329298,10.06695159329298,13.055166132921434,10.019819820148618,10.019819820148618 
 07/01  07:00:00,22.200000000000025,20.853586352239448,13670.39523341101,0.5467642243600003,0.5467642243600003,0.0,12.56427737631186,18.534344431998588,14.193094646021815,12.491285490788819,18.534344431998588 
 07/01  08:00:00,23.31833333333333,20.74161191500652,13456.182381677441,0.5467642243600003,0.5467642243600003,0.0,11.912320798879473,17.787782218810674,14.299425798964356,11.838502496575542,17.787782218810674 
 07/01  09:00:00,25.823333333333335,20.955041010038256,13460.979246756951,0.5467642243600003,0.5467642243600003,0.0,11.474365371943053,17.35118390853621,14.963090807073013,11.397012274965368,17.35118390853621 
 07/01  10:00:00,27.759166666666667,21.488257656141625,9283.81669612582,0.5467642243600003,0.21627989321536018,0.33048433114463995,13.332083170000005,17.38738656493093,14.451425458524519,6.918666386378693,11.029421662182936 
 07/01  11:00:00,29.164166666666668,22.097768629096348,8680.632608936457,0.5467642243600003,0.1961040793283497,0.3506601450316503,13.612370209999997,17.404498817530265,13.407952435893712,6.699999999999993,10.539308336020524 
 07/01  12:00:00,30.0,22.793479502369743,9878.756646544864,0.5467642243600003,0.2248415701637545,0.3219226541962457,12.992354520000014,17.307116054823518,13.505023902390482,6.699999999999993,11.061932880614677 
 07/01  13:00:00,30.86416666666667,23.41012372833173,5862.75548799657,0.5467642243600003,0.1287217889047226,0.4180424354552773,15.215060099999987,17.777325333262419,13.297900902117716,6.699999999999993,9.30946567437904 
 07/01  14:00:00,29.717500000000006,23.441353952709926,7888.742376646435,0.5467642243600003,0.17026260908956465,0.3765016152704354,14.47389362000001,17.920936694471874,13.35352239131397,6.699999999999993,10.194234456097553 
 07/01  15:00:00,28.613333333333335,23.22362938045363,13941.314225592398,0.5467642243600003,0.5467642243600003,0.0,11.409233771994215,17.495416091630195,13.381559292134178,11.332590265588303,17.495416091630195 
 07/01  16:00:00,28.0275,22.90195406620183,10020.250323855733,0.5467642243600003,0.23431864198603934,0.3124455823739607,13.049772510000017,17.426406448224168,13.547220113480363,6.9785243718818938,11.411939664137917 
 07/01  17:00:00,25.276666666666665,22.464374473988227,5466.298526777145,0.5467642243600003,0.12820572912396703,0.41855849523603319,15.4029802,17.792063257484764,14.035270186613229,7.3823564174495959,9.818641611616873 
 07/01  18:00:00,23.594999999999997,22.101485351746296,3766.4445186346608,0.5467642243600003,0.09292284966458177,0.4538413746954183,16.55129495999998,18.197806687332976,14.426005369785406,8.233382334380554,9.927106562965618 
 07/01  19:00:00,23.604999999999995,21.80312470934206,4129.898196812684,0.5467642243600003,0.09949673362603417,0.4472674907339659,16.61305600000002,18.418473837952925,13.821015808599969,8.2384173912346,10.091048288010468 
 07/01  20:00:00,21.917500000000005,21.43846096033715,4286.392005197126,0.5467642243600003,0.1119465362606413,0.4348176880993588,16.578471290000019,18.45228924877723,12.404545496774892,9.03786045854592,10.958891163918086 
 07/01  21:00:00,20.304999999999994,20.865277584502946,13713.882009064333,0.5467642243600003,0.5467642243600003,0.0,11.877472288401516,17.86535405068243,12.535308459191424,11.80608658476112,17.86535405068243 
 07/01  22:00:00,20.294999999999996,20.40571279858705,13453.666709055444,0.5467642243600003,0.5467642243600003,0.0,11.432939284214815,17.30649563045269,11.990605905325081,11.35578268933166,17.30649563045269 
 07/01  23:00:00,20.0,20.036800339971518,13428.171816714805,0.5467642243600003,0.5447773312004008,0.001986893159599281,10.96528464730531,16.826925743937065,11.990605905325081,10.864467467507703,16.804964792267467 
 07/01  24:00:00,20.0,19.664466280512788,13345.60627119873,0.5467642243600003,0.5467642243600003,0.0,10.316072046152533,16.14059190555599,11.990605905325081,10.2446656417067,16.14059190555599 
 07/02  01:00:00,20.0,19.255077048184874,9915.408625030834,0.5467642243600003,0.4544696432449745,0.09229458111502574,10.948963027358483,15.277190169144811,11.990605905325081,10.01981981982519,14.395190700755086 
 07/02  02:00:00,20.0,18.89482415814749,7950.044148288139,0.5467642243600003,0.4088998200881616,0.13786440427183847,11.250097341070433,14.720715245250562,11.990605905325081,10.019819819819825,13.537585529476145 
 07/02  03:00:00,19.440833333333335,18.63825004815376,6916.106716811733,0.5467642243600003,0.399848014943293,0.14691620941670709,11.464964605504696,14.48440128899472,11.990605905325081,10.287888412389302,13.354475803201549 
 07/02  04:00:00,19.154166666666666,18.444076582368106,6340.914747911591,0.5467642243600003,0.3896076513255646,0.15715657303443548,11.627698860477857,14.396147847598599,11.990605905325081,10.442927392517005,13.258529284955719 
 07/02  05:00:00,19.399999999999996,18.310881034555068,6017.295084742306,0.5467642243600003,0.36108843134155407,0.1856757930184461,11.739474498388839,14.366715312949275,11.990605905325081,10.317157168066668,12.991552397794294 
 07/02  06:00:00,19.399999999999996,18.238290727694169,5860.382384895596,0.5467642243600003,0.35246510995625648,0.19429911440374343,11.800808859188676,14.359584364941286,11.990605905325081,10.31711711711712,12.923047866581975 
 07/02  07:00:00,19.705,18.441998309644583,6166.997256582136,0.5467642243600003,0.3602088525233243,0.18655537183667574,11.636729432158417,14.329252227095627,13.217259736366149,10.17089788480649,12.910573707087274 
 07/02  08:00:00,21.118333333333337,19.499013356343743,7783.414236778638,0.5467642243600003,0.40179951166234448,0.1449647126976556,10.770717827142228,14.168110932760497,11.400800809498757,9.48373069582031,12.928265134300443 
 07/02  09:00:00,23.62333333333333,20.11707139885925,8610.4689867562,0.5467642243600003,0.3626756976460658,0.18408852671393423,10.241261503953137,13.9991045608905,11.347633504444657,8.247549536458142,12.05252677892355 
 07/02  10:00:00,25.55916666666667,20.675365415625334,9435.044047624782,0.5467642243600003,0.34389479367799888,0.2028694306820012,9.777792234326123,13.894912367758629,11.347633504444657,7.274498035090321,11.438745599850816 
 07/02  11:00:00,26.65916666666666,21.23970641745368,10306.462444421535,0.5467642243600003,0.35377303551436775,0.1929911888456324,9.30857527945756,13.805245200730346,11.347633504444657,6.783661685662575,11.327451653217544 
 07/02  12:00:00,28.06416666666667,21.869703592099318,11319.808056354737,0.5467642243600003,0.38819082509496036,0.15857339926503973,8.784206972566495,13.722130303639311,11.347633504444657,6.699999999999993,11.685035126949215 
 07/02  13:00:00,29.459166666666666,23.90720977181918,13491.013192974136,0.5467642243600003,0.5339199154218461,0.01284430893815409,7.668920662074195,13.551774940224324,11.347633504444657,7.430048106865933,13.389575119659283 
 07/02  14:00:00,29.440833333333328,23.054013520913736,13044.505205217001,0.5467642243600003,0.4792061158359838,0.06755810852401642,7.831664603246903,13.520131091155469,11.347633504444657,6.936193690456213,12.683786171163528 
 07/02  15:00:00,29.76416666666667,22.890075033734595,12803.917210668855,0.5467642243600003,0.45218264821895629,0.09458157614104378,7.924883960477162,13.508610761998995,11.347633504444657,6.699999999999993,12.330825082872457 
 07/02  16:00:00,30.854166666666669,22.853369989548086,12694.900330439374,0.5467642243600003,0.4495930468305277,0.09717117752947227,7.953810294345843,13.49004838977391,11.347633504444657,6.699999999999993,12.283336831565583 
 07/02  17:00:00,30.84583333333334,22.66859725029882,12342.041548659605,0.5467642243600003,0.4372981823430192,0.10946604201698093,8.106324118427429,13.488954256107473,11.347633504444657,6.699999999999993,12.129731271902467 
 07/02  18:00:00,30.59999999999997,23.986199385068298,13493.441706821184,0.5467642243600003,0.5385968940128468,0.008167330347153437,7.487882468603327,13.371443128743995,11.347633504444657,7.309258057627525,13.270576808773193 
 07/02  19:00:00,29.430833333333337,21.596095304153999,10287.571440391028,0.5467642243600003,0.3720305247048609,0.1747336996551391,8.97257573326661,13.460422621438026,30.333837204117125,6.756201171809445,11.294740362818266 
 07/02  20:00:00,26.927500000000003,20.130211465908184,8140.619462550821,0.5467642243600003,0.2830855556031617,0.2636786687568384,10.20771512589639,13.760451135836592,32.09064030372631,6.806747806659074,10.406617451535052 
 07/02  21:00:00,24.430833333333334,19.433506931541105,7305.579731893925,0.5467642243600003,0.28650727705629555,0.2602569473037043,10.79796746567439,13.986829924430407,31.984822742247596,7.805335827108237,11.041339986319901 
 07/02  22:00:00,23.045833333333339,19.037860763547824,6858.305117274352,0.5467642243600003,0.2958973251875719,0.2508668991724281,11.131722699701906,14.125639593405707,21.28923554260628,8.506349810575627,11.547412911187936 
 07/02  23:00:00,22.494999999999999,18.839108041987449,6653.891428044535,0.5467642243600003,0.29756864531889906,0.2491955790411011,11.29807924263068,14.20290008198977,12.499522944260223,8.778611613793512,11.730580906552046 
 07/02  24:00:00,21.640833333333334,18.65190405783983,6398.5677937107889,0.5467642243600003,0.30771526446111666,0.23904895989888348,11.454103684071449,14.247585246298888,11.992750866193667,9.197750261159757,12.038382383971533 
