Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 06/01  22:00:00,115613472.4316883,115613472.4316883,26303943.895732464,55180531.87831209 
 06/01  23:00:00,107340223.24346511,107340223.24346511,13151971.947866232,55180531.87831209 
 06/01  24:00:00,100746237.26953186,100746237.26953186,6575985.973933116,55180531.87831209 
 06/02  01:00:00,78819853.32476583,78819853.32476583,7625873.53771374,44533202.00181081 
 06/02  02:00:00,64923452.82031766,64923452.82031766,7625873.53771374,44533202.00181081 
 06/02  03:00:00,71551711.12892162,71551711.12892162,7625873.53771374,44533202.00181081 
 06/02  04:00:00,68016640.0309995,68016640.0309995,7625873.53771374,44533202.00181081 
 06/02  05:00:00,67848581.5187877,67848581.5187877,7391411.3786188079,44533202.00181081 
 06/02  06:00:00,84109213.28085242,84109213.28085242,12466695.748995169,44533202.00181081 
 06/02  07:00:00,94449866.1545204,94449866.1545204,10422134.858921607,55180531.87831209 
 06/02  08:00:00,160707638.1033514,160707638.10335136,31041441.28463835,95796493.41677362 
 06/02  09:00:00,334341782.3240182,334341782.3240182,93124323.85391505,204227663.7591696 
 06/02  10:00:00,304205046.54157379,304205046.54157379,93124323.85391505,174055806.61631225 
 06/02  11:00:00,297028619.22687998,297028619.22687998,93124323.85391505,167093070.3525762 
 06/02  12:00:00,304380222.983041,304380222.9830409,93124323.85391505,174055806.61631225 
 06/02  13:00:00,307988595.34218409,307988595.34218409,93124323.85391505,177667514.30607493 
 06/02  14:00:00,310940968.2698595,310940968.26985946,93124323.85391505,179858086.83609239 
 06/02  15:00:00,297803629.169831,297803629.169831,93124323.85391505,167093070.3525762 
 06/02  16:00:00,297583405.3607052,297583405.3607052,93133991.36789204,167093070.3525762 
 06/02  17:00:00,308809273.8680272,308809273.8680271,93559746.61659938,177537174.74818046 
 06/02  18:00:00,228307304.0661684,228307304.0661684,52740507.402017209,140923939.57316477 
 06/02  19:00:00,135775610.85890753,135775610.85890753,34330025.61889131,69106004.40578471 
 06/02  20:00:00,139376859.31428559,139376859.31428559,39225532.42591783,59822356.054136309 
 06/02  21:00:00,129214400.78410042,129214400.78410042,26303943.895732464,59822356.054136309 
 06/02  22:00:00,115513588.54444804,115513588.54444804,26303943.895732464,55180531.87831209 
 06/02  23:00:00,107340223.24346511,107340223.24346511,13151971.947866232,55180531.87831209 
 06/02  24:00:00,100764237.26953186,100764237.26953186,6575985.973933116,55180531.87831209 
