Date/Time,CORE_TOP:Zone Total Internal Total Heating Rate [W](Hourly),CORE_TOP:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_4:Zone Mean Air Temperature [C](Hourly),CORE_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI3_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI4_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),COOLSYS1 CHILLER1:Chiller Electric Power [W](Hourly),CHILLED WATER LOOP CHW SUPPLY PUMP2:Pump Electric Power [W](Hourly) 
 01/02  20:00:00,5413.986908961739,19.321190641495869,18.97599819905067,18.943328790405354,19.20409002380932,18.93728198830415,0.0,0.0,64.16299999999998,46.0163275,80.0,0.0,0.0 
 01/02  21:00:00,4829.719258246828,19.194394902700336,18.943398582135076,18.94802583629555,19.016736520341135,18.953007619784228,0.0,30.62730000000001,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 01/02  22:00:00,4829.719258246828,19.12274772726355,18.988661280086697,18.981701348901443,19.001837075772845,18.975019133214283,0.0,38.28412500000001,57.40899999999999,56.635479999999997,68.0,0.0,0.0 
 01/02  23:00:00,3927.819615240021,20.112624625326789,19.50566057515879,19.53877431033564,19.546226394842955,19.597440841929619,0.0,0.0,3.3770000000000004,3.5397174999999998,4.0,0.0,0.0 
 01/02  24:00:00,3635.6857898825685,20.45027390953295,19.56111461787065,19.57473271062525,19.65008341164432,19.634763966277924,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  01:00:00,2780.82959564914,20.389074166246674,19.413510881326237,19.4126648450307,19.509400213689525,19.468542461545746,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  02:00:00,2780.82959564914,20.35094880819927,19.33601239090286,19.32565428692628,19.437967532129514,19.37558891077326,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  03:00:00,2780.82959564914,20.324476405160178,19.30791404174505,19.29203331571867,19.407113630028037,19.335741282636709,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  04:00:00,2780.82959564914,20.312079228808835,19.398368592070719,19.382421900821379,19.494241073151078,19.423094024028879,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  05:00:00,2780.82959564914,20.329399463229835,19.463749176417,19.450581513459409,19.554132982439083,19.477627528066166,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  06:00:00,3119.6039812842798,20.36039950757923,19.394989517227044,19.37164508606893,19.468261263652385,19.392886187086448,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  07:00:00,4245.451607531921,19.67344638901985,19.069195582463715,19.0489886416698,19.158964880598967,19.036318992647858,0.0,0.0,20.262000000000005,0.0,32.0,0.0,0.0 
 01/03  08:00:00,6049.250893545528,19.657633385623876,19.134144910492855,19.238561203453725,19.248758860501647,19.162245314875205,0.0,0.0,0.0,0.0,0.0,622.3959286053557,1444.191716 
 01/03  09:00:00,18101.736647504953,20.59869709667575,19.974213764481488,20.030782049710873,20.086277534992246,19.92425391831457,0.0,0.0,0.0,0.0,0.0,545.7897753906148,1312.90156 
 01/03  10:00:00,18101.736647504957,20.867328145692846,20.18278013534796,20.269191652972667,20.427634436442106,20.044500910439195,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  11:00:00,18265.019990212222,20.70888214262104,20.129214195195524,20.459877398001639,21.240445984004528,19.995109698174639,0.0,45.940950000000018,0.0,0.0,0.0,1816.7653894148876,1575.481872 
 01/03  12:00:00,18101.736647504953,21.002158507170156,20.50354759699109,20.705402142433664,22.750692854913454,20.40883933435247,114.53607,76.56825000000002,3.3770000000000004,0.0,0.0,7065.32499382082,2625.803119999999 
 01/03  13:00:00,14572.507325244462,20.946233549504116,20.620423586023585,20.866587400423528,22.125606727652899,20.563306688956496,76.35738,76.56825000000002,3.3770000000000004,0.0,0.0,5683.852415343117,2625.803119999999 
 01/03  14:00:00,18101.736647504957,20.971859853589238,20.71006130154539,20.84842020454562,21.451472427587765,20.60911762207354,76.35738,76.56825000000002,0.0,0.0,0.0,4589.9318511255819,2625.803119999999 
 01/03  15:00:00,18265.019990212222,20.93474499247334,20.56595705069912,20.64519325700332,21.042517377468309,20.455126388309059,0.0,49.769362500000017,0.0,0.0,0.0,1594.1660644235763,1706.772028 
 01/03  16:00:00,18101.736647504957,20.91786556941661,20.41172467823918,20.45814669594415,20.8168912856318,20.352424569126148,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  17:00:00,18101.736647504957,20.901189635550858,20.25171971807682,20.27243510986789,20.58626285132376,20.188459491466984,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  18:00:00,8609.530172617446,20.170054361698108,19.58742888162228,19.603331796713407,19.811977174757748,19.51792329860865,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  19:00:00,5413.9869089617409,19.684971070051426,19.089509137621609,19.09387431845053,19.25913266464297,18.990860387098729,0.0,0.0,13.508000000000001,14.158869999999999,44.0,0.0,0.0 
 01/03  20:00:00,5413.9869089617409,19.49648322512504,18.89645151438942,18.894703655641949,18.9967283054339,18.843365759000745,0.0,38.28412500000001,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 01/03  21:00:00,4829.719258246828,19.378928401943054,18.863456569568556,18.870663979973054,18.931831350479408,18.84234036296875,0.0,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 01/03  22:00:00,4829.719258246828,19.291688902648873,18.857932564721627,18.889233340378565,18.931661246839789,18.94324795526609,0.0,76.56825000000002,67.53999999999999,70.79434999999998,64.0,0.0,0.0 
 01/03  23:00:00,3927.819615240021,20.229225686902976,19.054315964499208,19.114172014027976,19.105886531093938,19.086795838543759,0.0,7.656825,13.508000000000001,17.6985875,20.0,0.0,0.0 
 01/03  24:00:00,3635.6857898825685,20.4690764870677,18.903521992312848,18.9081757250583,18.935009680250738,18.9035796631973,0.0,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 01/04  01:00:00,2780.82959564914,20.320484367567958,18.83117901677597,18.84705190055425,18.85669467242443,18.863381607815687,0.0,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 01/04  02:00:00,2780.82959564914,20.224501868492128,18.803415329217555,18.854580396681646,18.830585141434143,18.910264050277406,0.0,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 01/04  03:00:00,2780.82959564914,20.182474396825957,18.77497122834226,18.922694096062299,18.802690938564927,18.85928668903495,0.0,76.56825000000002,64.16299999999998,70.79434999999998,68.0,0.0,0.0 
 01/04  04:00:00,2780.82959564914,20.142132829024555,18.814538102465297,18.8943320891715,18.845325432671286,18.91736536689435,0.0,76.56825000000002,60.78599999999999,70.79434999999998,60.0,0.0,0.0 
 01/04  05:00:00,2780.82959564914,20.10093004291465,18.94542774333923,18.943738357763825,18.96657240934072,18.810099906321115,0.0,68.91142500000002,60.78599999999999,70.79434999999998,80.0,0.0,0.0 
 01/04  06:00:00,3119.6039812842798,20.07184597810106,18.93337573572926,18.93888838009921,18.87710905841568,18.90607245375939,0.0,76.56825000000002,57.40899999999999,63.71491499999998,64.0,0.0,0.0 
 01/04  07:00:00,4245.451607531919,19.12022133876136,18.571351092996097,18.4841297801264,18.651771837796365,18.409756802341048,114.53607,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 01/04  08:00:00,6049.250893545528,19.020362465567769,18.73871547771782,18.924319651364148,18.90171378556383,18.798637619415623,38.17869,61.25460000000002,33.769999999999999,70.79434999999998,64.0,0.0,0.0 
 01/04  09:00:00,18101.736647504957,19.785208172154559,19.314113232092998,19.544486034859859,19.509171169015148,19.12583223175431,0.0,2.5522750000000005,1.1256666666666669,1.1799058333333333,4.0,0.0,0.0 
 01/04  10:00:00,18101.736647504957,20.173497723504334,19.36889213861634,20.23713861858706,20.323687472851149,19.153869703911988,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  11:00:00,18265.019990212222,20.415921848693569,19.63169006908747,20.48733105294297,21.559218417940835,19.436534822535444,0.0,65.08301250000003,0.0,0.0,0.0,2908.549514624482,2231.9326519999997 
 01/04  12:00:00,18101.736647504957,20.646208503262334,19.93124830759153,20.4452822473844,22.563158846016614,19.76904834843733,0.0,76.56825000000002,0.0,0.0,0.0,4216.2522449929,2625.803119999999 
 01/04  13:00:00,14572.507325244462,20.532642358672665,19.91974875363708,20.43472983010553,23.082132665212879,19.81081716247304,0.0,76.56825000000002,0.0,0.0,0.0,4671.462185016642,2625.803119999999 
 01/04  14:00:00,18101.736647504957,20.896893189587705,20.254561833767317,20.683599110131195,23.829053334677466,20.046284383057406,63.631150000000008,76.56825000000002,0.0,0.0,0.0,6708.955818021806,2625.803119999999 
 01/04  15:00:00,18265.019990212222,21.083467777854485,20.44482460052071,20.825690647327197,23.999094171049749,20.74784703785549,254.52460000000003,76.56825000000002,0.0,0.0,20.0,11751.72993011981,2625.803119999999 
 01/04  16:00:00,18101.736647504957,21.068733714663,20.502573742430429,20.824591128104485,23.873914590330537,22.121128541924315,254.52460000000003,76.56825000000002,0.0,0.0,80.0,12897.155865902834,2625.803119999999 
 01/04  17:00:00,18101.736647504957,21.059648428786909,20.496474542472627,20.73850247752562,23.183235070044185,22.934184657986614,254.52460000000003,76.56825000000002,0.0,0.0,80.0,12897.155865902834,2625.803119999999 
 01/04  18:00:00,8609.530172617446,20.34968592123735,19.82171005601661,20.01563802760214,21.495305052526665,21.452280260415337,8.484153333333334,61.25460000000002,0.0,0.0,52.0,4396.816608633767,2100.6424959999997 
 01/04  19:00:00,5413.9869089617409,19.675830290651466,19.142371617087755,19.28453814859729,20.108516941226236,19.54643286722996,0.0,0.0,0.0,14.158869999999999,0.0,0.0,0.0 
 01/04  20:00:00,5413.986908961739,19.37740496514011,18.78983405110617,18.84464546947258,19.41303308534145,18.896356690708147,0.0,0.0,64.16299999999998,70.79434999999998,64.0,0.0,0.0 
 01/04  21:00:00,4829.719258246828,19.19671952319491,18.676505009142486,18.70641924708144,19.0270265878293,18.7585451486585,0.0,30.62730000000001,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 01/04  22:00:00,4829.719258246828,19.07421519682189,18.643220291181288,18.692388392755679,18.896352299447377,18.728079974734834,0.0,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 01/04  23:00:00,3927.819615240021,19.928230738719159,19.101089254122326,19.204819909474005,19.358061873715294,19.29820675170721,0.0,7.656825,10.131,14.158869999999999,8.0,0.0,0.0 
 01/04  24:00:00,3635.6857898825685,20.183881063003459,19.064522197560007,19.111734600403794,19.39181546267564,19.22654337080342,0.0,0.0,0.0,10.619152499999999,0.0,0.0,0.0 
 01/05  01:00:00,2780.82959564914,20.057733196073138,18.898019050775486,18.897671724786656,19.113600255878933,18.97090025368941,0.0,3.8284125,64.16299999999998,70.79434999999998,60.0,0.0,0.0 
 01/05  02:00:00,2780.82959564914,19.945630075639444,18.88583568649927,18.903650782123923,18.946826443075304,18.963293507971224,0.0,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 01/05  03:00:00,2780.82959564914,19.870799481398629,18.882526079967016,18.92862568268955,18.948756393902234,18.982450491224318,0.0,76.56825000000002,67.53999999999999,70.79434999999998,72.0,0.0,0.0 
 01/05  04:00:00,2780.82959564914,19.809295663805963,18.899318204922474,18.977886716603878,18.957234355924606,18.927959336301883,0.0,76.56825000000002,60.78599999999999,70.79434999999998,80.0,0.0,0.0 
 01/05  05:00:00,2780.82959564914,19.75624382344241,18.91483649304577,18.90153906642316,18.957240904508667,18.97142887576093,0.0,76.56825000000002,67.53999999999999,70.79434999999998,72.0,0.0,0.0 
 01/05  06:00:00,3119.6039812842798,19.72027141162318,18.926600587632465,18.923320078798377,18.949648395724407,18.873612649647045,0.0,76.56825000000002,67.53999999999999,70.79434999999998,76.0,0.0,0.0 
 01/05  07:00:00,4245.45160753192,18.865069628356417,18.389615776180503,18.685058104750703,18.421470154775798,18.339256072095666,203.61968000000008,76.56825000000002,57.40899999999999,70.79434999999998,80.0,0.0,0.0 
 01/05  08:00:00,6049.250893545528,18.896637056550767,18.72344830555363,19.198919018386044,18.75097367881706,18.758434196480619,254.52460000000003,61.25460000000002,20.262000000000005,60.17519749999999,64.0,0.0,0.0 
 01/05  09:00:00,18101.736647504957,19.81812804848157,19.146177448559738,21.18105045496094,20.270322546844349,19.14489912028565,4.242076666666667,0.0,43.900999999999999,5.899529166666666,4.0,1992.463815022089,1706.772028 
 01/05  10:00:00,18101.736647504953,20.316770801802038,19.386917628989328,21.80431561454779,21.638133471532734,19.24831301125715,0.0,72.73983750000002,67.53999999999999,0.0,0.0,5594.08448892689,2625.803119999999 
 01/05  11:00:00,18265.019990212222,20.577158646643107,19.713631960796783,21.15928387129864,22.829369806528356,19.59427254703317,0.0,76.56825000000002,47.27799999999999,0.0,0.0,5824.1936531014639,2625.803119999999 
 01/05  12:00:00,18101.736647504957,20.82908732139306,20.052462470205364,20.676013495609089,23.804520088573807,19.973796368467228,0.0,76.56825000000002,0.0,0.0,0.0,5373.149797468148,2625.803119999999 
 01/05  13:00:00,14572.507325244462,20.78547243162076,20.145517023020497,20.776339318207329,23.998992880842608,20.12490872673171,0.0,76.56825000000002,0.0,0.0,0.0,5454.973618211194,2625.803119999999 
 01/05  14:00:00,18101.736647504957,21.32760286338965,20.73225914796196,21.16437550429087,23.999417833768058,20.538585705865417,241.79837000000004,76.56825000000002,60.78599999999999,0.0,0.0,12384.967452336223,2625.803119999999 
 01/05  15:00:00,18265.019990212222,21.5818894763989,21.072908269054595,21.29474705851846,23.999218340114198,21.443440498962624,254.52460000000003,76.56825000000002,67.53999999999999,67.25463249999999,60.0,12897.155865902834,2625.803119999999 
 01/05  16:00:00,18101.736647504957,21.5932078819969,21.081724695661078,21.233146996241556,23.99961845357871,22.86562452543531,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,12897.155865902834,2625.803119999999 
 01/05  17:00:00,18101.736647504957,21.54597933480414,20.99222182998912,21.051709353486907,23.80625419412072,23.638735921886839,254.52460000000003,76.56825000000002,47.27799999999999,38.9368925,80.0,12897.155865902834,2625.803119999999 
