Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 03/08  12:00:00,73323848.691921,73323848.691921,5173573.547439724,41385398.908734139 
 03/08  13:00:00,73081858.8234633,73081858.8234633,5173573.547439724,41385398.908734139 
 03/08  14:00:00,73405858.8234633,73405858.8234633,5173573.547439724,41385398.908734139 
 03/08  15:00:00,73225858.8234633,73225858.8234633,5173573.547439724,41385398.908734139 
 03/08  16:00:00,73615690.78615189,73615690.78615189,5215405.510128328,41385398.908734139 
 03/08  17:00:00,75248584.1466354,75248584.1466354,5380379.922950344,41385398.908734139 
 03/08  18:00:00,60966123.02079525,60966123.020795259,7265088.008420224,33399901.50135806 
 03/08  19:00:00,61517899.908921647,61517899.90892164,7625873.53771374,33399901.50135806 
 03/08  20:00:00,63223828.98812547,63223828.988125469,7625873.53771374,33399901.50135806 
 03/08  21:00:00,60301950.56663324,60301950.56663324,7625873.53771374,33399901.50135806 
 03/08  22:00:00,64069798.59349856,64069798.59349854,7625873.53771374,33399901.50135806 
 03/08  23:00:00,62327869.51429475,62327869.51429474,7625873.53771374,33399901.50135806 
 03/08  24:00:00,70025830.54091667,70025830.54091667,7625873.53771374,44533202.00181081 
 03/09  01:00:00,69595850.80400129,69595850.80400129,7625873.53771374,44533202.00181081 
 03/09  02:00:00,74397658.3046974,74397658.3046974,7625873.53771374,44533202.00181081 
 03/09  03:00:00,69631850.80400127,69631850.80400127,7625873.53771374,44533202.00181081 
 03/09  04:00:00,72931729.22549357,72931729.22549357,7625873.53771374,44533202.00181081 
 03/09  05:00:00,79137653.42091882,79137653.42091882,15251747.07542748,44533202.00181081 
 03/09  06:00:00,101727295.93363969,101727295.93363969,13151971.947866232,55180531.87831209 
 03/09  07:00:00,161587183.15751393,161587183.1575139,37807154.536967728,95796493.41677362 
 03/09  08:00:00,341861616.2918192,341861616.2918192,96531951.46878758,204227663.7591696 
 03/09  09:00:00,314134560.66929057,314134560.66929057,93665942.48191618,174055806.61631225 
 03/09  10:00:00,306900205.77755257,306900205.7775533,93124323.85391505,167093070.3525762 
 03/09  11:00:00,313730942.0412895,313730942.0412895,93124323.85391505,174055806.61631225 
 03/09  12:00:00,316759619.1083028,316759619.1083028,93124323.85391505,177667514.30607493 
 03/09  13:00:00,319779938.5421845,319779938.5421845,93124323.85391505,179858086.83609239 
 03/09  14:00:00,307100876.23449179,307100876.23449179,93124323.85391505,167093070.3525762 
 03/09  15:00:00,307312595.6945441,307312595.6945441,93124323.85391505,167093070.3525762 
 03/09  16:00:00,318241628.3235663,318241628.3235663,93601195.21630211,177537174.74818046 
 03/09  17:00:00,240551862.2496368,240551862.24963684,53461111.10540991,140923939.57316477 
 03/09  18:00:00,133189586.8197668,133189586.8197668,37588566.67960208,69106004.40578471 
 03/09  19:00:00,130006717.1015076,130006717.1015076,39455915.8435987,59822356.054136309 
 03/09  20:00:00,116830745.15364117,116830745.15364117,26303943.895732464,59822356.054136309 
 03/09  21:00:00,92762985.64250234,92762985.64250234,26303943.895732464,55180531.87831209 
