Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Each Call),Environment:Site Daylight Saving Time Status [](Hourly),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Each Call),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Each Call) 
 01/21  02:23:00,-6.3,,19.005619440644336,13.38813976422281,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:24:00,-6.3,,18.988410145982234,13.387979018041284,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:25:00,-6.3,,18.971654023846186,13.387816034324372,0.0,0.0,10.35409398,10.35409398,19600.33941189066,0.0 
 01/21  02:26:00,-6.3,,18.95709579331769,13.387650725442392,0.0,0.0,10.35409398,10.35409398,19817.611101179053,0.0 
 01/21  02:27:00,-6.3,,18.94645285833038,13.38748311414879,0.0,0.0,10.35409398,10.35409398,20006.38337881546,0.0 
 01/21  02:28:00,-6.3,,18.940857162180945,13.387313337355656,0.0,0.0,10.35409398,10.35409398,20144.38717497451,0.0 
 01/21  02:29:00,-6.3,,18.94076315266334,13.387141644240442,0.0,0.0,10.35409398,10.35409398,20216.94491508058,0.0 
 01/21  02:30:00,-6.3,,18.946107576258897,13.38696838652686,0.0,0.0,10.35409398,10.35409398,20218.163908743496,0.0 
 01/21  02:31:00,-6.3,,18.956517478145707,13.386794001085354,0.0,0.0,10.35409398,10.35409398,20148.86434566732,0.0 
 01/21  02:32:00,-6.3,,18.971471712302859,13.386618987522076,0.0,0.0,10.35409398,10.35409398,20013.88222093049,0.0 
 01/21  02:33:00,-6.3,,18.990400363950479,13.386443883577883,0.0,0.0,10.35409398,10.35409398,19819.975081142544,0.0 
 01/21  02:34:00,-6.3,,19.012737744088935,13.386269241194773,0.0,0.0,10.35409398,10.35409398,19574.532843013814,0.0 
 01/21  02:35:00,-6.3,,19.037048548567886,13.386095603915504,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:36:00,-6.3,,19.06117325801723,13.38592348474558,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:37:00,-6.3,,19.083054305917714,13.385753343883252,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:38:00,-6.3,,19.101294726877886,13.385585567543379,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:39:00,-6.3,,19.11524642863482,13.38542044983942,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
